model,learner,best_emse,best_mae,best_r2,best_params
RandomForest,S-Learner,0.2656801129516234,0.43893208616511115,0.2930753083737554,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
RandomForest,T-Learner,0.663447887232135,0.4581151611550545,0.22786858529754817,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
RandomForest,X-Learner,0.6181828936457321,0.45779392309893646,0.2285938818503439,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
RandomForest,R-Learner,0.3708015666668681,0.5084566563973613,0.05547239547181604,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
GradientBoosting,S-Learner,0.31897280477272844,0.46447035881472976,0.20997013183986413,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}"
GradientBoosting,T-Learner,0.6029374567614939,0.47603735215445786,0.1661342617630519,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}"
GradientBoosting,X-Learner,0.5922951827242304,0.477074820207457,0.16269400161065894,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
GradientBoosting,R-Learner,0.38861551176125075,0.5072239036870334,0.05730011925149081,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
NeuralNetwork,S-Learner,0.27090906324941755,0.453931232584128,0.23996100225370987,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'solver': 'adam'}"
NeuralNetwork,T-Learner,0.7376714588604512,0.4788198032158973,0.15527038924276138,"{'activation': 'tanh', 'hidden_layer_sizes': (50,), 'solver': 'adam'}"
NeuralNetwork,X-Learner,0.7038305164134061,0.4778253651781024,0.1567847090864648,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'solver': 'adam'}"
NeuralNetwork,R-Learner,0.4091575354578987,0.5146285237260129,0.028859812264252938,"{'activation': 'relu', 'hidden_layer_sizes': (100, 100), 'solver': 'sgd'}"
Ridge,S-Learner,0.36255766598902495,0.48568334315867745,0.1342395251471623,{'alpha': 10.0}
Ridge,T-Learner,0.5652255997103489,0.49631071591957,0.09206669024313474,{'alpha': 10.0}
Ridge,X-Learner,0.5744317359889735,0.49631071591957,0.09206669024313474,{'alpha': 10.0}
Ridge,R-Learner,0.41041094536212236,0.5163369715835818,0.022057441745358508,{'alpha': 10.0}
Lasso,S-Learner,0.41914669986953335,0.5209347119789028,0.0,{'alpha': 0.1}
Lasso,T-Learner,0.5799367714028005,0.5209347119789028,0.0,{'alpha': 0.1}
Lasso,X-Learner,0.5798047262772443,0.5209347119789028,0.0,{'alpha': 0.1}
Lasso,R-Learner,0.4281963409880439,0.5280126133609919,-0.02011798595763703,{'alpha': 0.1}
SVR,S-Learner,0.3314024730730306,0.46859801051346084,0.18646327170916133,"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'rbf'}"
SVR,T-Learner,0.6013266440640147,0.4792734545698353,0.14100982674099416,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
SVR,X-Learner,0.5832393723280712,0.4792734545698353,0.14100982674099416,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
SVR,R-Learner,0.40780036716045065,0.5171047112392064,0.0202537218706903,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}"
ExtraTrees,S-Learner,0.2786388524579562,0.4444928974841072,0.26631721587022417,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
ExtraTrees,T-Learner,0.6757757570822688,0.4581601974758688,0.22045196273839052,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}"
ExtraTrees,X-Learner,0.622869993018183,0.45851380366833633,0.21940791833555162,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}"
ExtraTrees,R-Learner,0.3866626075756024,0.5170858765361628,0.022322269324392963,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}"
AdaBoost,S-Learner,0.3621291308689636,0.4869702571241652,0.13262579033671662,"{'learning_rate': 0.2, 'n_estimators': 200}"
AdaBoost,T-Learner,0.5752726955899903,0.4972766373447858,0.09343441408424968,"{'learning_rate': 0.2, 'n_estimators': 100}"
AdaBoost,X-Learner,0.5683298090790343,0.49820153429711594,0.09091003848814361,"{'learning_rate': 0.2, 'n_estimators': 100}"
AdaBoost,R-Learner,0.4047403614603012,0.5119339861941948,0.03781897848023641,"{'learning_rate': 0.2, 'n_estimators': 200}"
